Year,Month,Amount
2016,9,0.19
2012,2,0.01
2014,10,1.60
2018,7,3.69
2017,1,0.00
2011,5,1.60
2010,1,0.10
2005,4,2.20
2019,4,0.22
2006,3,0.77
2013,4,0.60
2009,9,1.74
2010,8,2.10
2007,8,4.33
2007,12,0.00
2010,12,0.15
2014,5,2.61
2016,11,0.58
2011,10,0.02
2006,6,2.95
2005,11,0.02
2012,7,2.61
2010,11,0.29
2018,5,1.62
2016,3,1.82
2007,5,2.94
2016,1,0.37
2008,7,0.79
2010,6,0.48
2013,2,0.00
2015,9,0.22
2019,2,0.05
2007,10,0.01
2013,12,0.01
2005,2,0.28
2013,8,4.93
2015,2,0.00
2016,4,0.92
2017,8,2.23
2009,2,0.01
2017,12,0.00
2006,12,0.41
2017,4,2.15
2015,5,8.93
2005,9,0.32
2014,6,0.88
2009,6,0.83
2009,3,0.54
2010,10,0.29
2012,4,1.99
2006,1,0.01
2007,7,1.36
2018,10,1.08
2013,1,0.00
2012,9,2.20
2017,9,3.02
2014,1,0.00
2010,5,1.21
2013,9,3.22
2008,2,0.00
2006,8,2.03
2016,7,2.00
2014,8,2.45
2017,6,2.02
2008,9,1.19
2009,4,3.00
2009,1,0.08
2018,1,0.06
2005,3,1.17
2013,6,0.95
2014,12,0.01
2009,11,0.69
2017,3,0.31
2016,2,0.66
2017,11,0.18
2018,8,1.95
2018,12,0.06
2011,7,2.76
2005,6,1.59
2006,10,1.64
2013,3,0.26
2013,11,0.01
2015,7,4.09
2015,1,0.00
2006,5,0.32
2014,9,1.03
2016,10,0.10
2011,11,0.01
2015,12,0.70
2011,4,1.34
2009,10,0.82
2007,2,0.38
2008,4,0.48
2018,6,1.36
2013,5,1.79
2005,1,0.43
2015,8,2.52
2012,6,0.15
2011,3,0.42
2005,12,0.27
2014,4,1.10
2017,2,0.00
2011,9,2.71
2006,7,5.29
2012,1,0.01
2005,8,3.00
2011,2,0.71
2018,4,0.59
2009,8,0.77
2007,4,1.77
2009,12,0.28
2015,10,1.07
2008,6,0.17
2008,1,0.00
2016,5,2.87
2007,9,0.12
2012,11,0.01
2014,3,0.00
2014,11,0.05
2012,3,0.00
2008,3,0.00
2018,3,0.33
2018,11,0.23
2010,7,1.68
2008,11,0.10
2008,8,0.00
2017,5,2.18
2014,7,4.20
2005,10,0.09
2008,12,0.75
2009,7,1.88
2006,4,0.04
2010,9,0.09
2018,2,0.20
2007,6,0.72
2012,5,1.03
2011,1,0.44
2018,9,0.28
2012,10,0.39
2010,4,2.17
2005,5,0.98
2016,6,2.19
2013,10,0.34
2017,10,0.11
2015,4,1.42
2011,8,1.46
2007,3,0.80
2019,1,0.12
2007,11,0.00
2011,12,0.02
2006,11,0.22
2017,7,4.58
2006,2,0.18
2008,10,0.50
2009,5,2.37
2019,3,0.91
2015,3,1.08
2004,12,0.45
2013,7,3.00
2015,11,0.76
2016,12,0.35
2012,12,0.01
2011,6,0.53
2016,8,2.33
2015,6,2.54
2007,1,0.47
2006,9,3.56
2012,8,0.39
2014,2,0.00
2005,7,0.69
